MSZoning,LotFrontage,LotArea,Street,Utilities,LotConfig,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterCond,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,SaleType,SaleCondition,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,CentralAir_N,CentralAir_Y,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_N,PavedDrive_P,PavedDrive_Y
3,65.0,8450,1,0,4,5,2,2,5,7,2003,2003,1,1,12,13,196.0,4,2,2,706.0,5,150.0,856.0,1,0,4,856,854,1710,1.0,2,1,3,1,8,6,0,1,2003.0,2.0,548.0,4,4,0,61,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
3,80.0,9600,1,0,2,24,1,2,2,6,1976,1976,1,1,8,8,0.0,4,1,0,978.0,5,284.0,1262.0,1,0,4,1262,0,1262,0.0,2,0,3,1,6,6,1,1,1976.0,2.0,460.0,4,4,298,0,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
3,68.0,11250,1,0,4,5,2,2,5,7,2001,2002,1,1,12,13,162.0,4,2,2,486.0,5,434.0,920.0,1,0,4,920,866,1786,1.0,2,1,3,1,6,6,1,1,2001.0,2.0,608.0,4,4,0,42,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
3,60.0,9550,1,0,0,6,2,2,5,7,1915,1970,1,1,13,15,0.0,4,0,0,216.0,5,540.0,756.0,1,2,4,961,756,1717,1.0,1,0,3,1,7,6,1,5,1998.0,3.0,642.0,4,4,0,35,272,8,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
3,84.0,14260,1,0,2,15,2,2,5,8,2000,2000,1,1,12,13,350.0,4,2,2,655.0,5,490.0,1145.0,1,0,4,1145,1053,2198,1.0,2,1,4,1,9,6,1,1,2000.0,3.0,836.0,4,4,192,84,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
3,85.0,14115,1,0,4,11,2,2,0,5,1993,1995,1,1,12,13,0.0,4,5,2,732.0,5,64.0,796.0,1,0,4,796,566,1362,1.0,1,1,1,1,5,6,0,1,1993.0,2.0,480.0,4,4,40,30,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,75.0,10084,1,0,4,21,2,2,2,8,2004,2005,1,1,12,13,186.0,4,2,2,1369.0,5,317.0,1686.0,1,0,4,1694,0,1694,1.0,2,0,3,1,7,6,1,1,2004.0,2.0,636.0,4,4,255,57,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
3,68.0,10382,1,0,0,14,4,2,5,7,1973,1973,1,1,6,6,240.0,4,1,0,859.0,1,216.0,1107.0,1,0,4,1107,983,2090,1.0,2,1,3,1,7,6,2,1,1973.0,2.0,484.0,4,4,235,204,228,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
4,51.0,6120,1,0,4,17,0,2,0,7,1931,1950,1,1,3,15,0.0,4,0,5,0.0,5,952.0,952.0,1,2,1,1022,752,1774,0.0,2,0,2,2,8,2,2,5,1931.0,2.0,468.0,1,4,90,0,205,8,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,50.0,7420,1,0,0,3,0,0,1,5,1939,1950,1,1,8,8,0.0,4,0,2,851.0,5,140.0,991.0,1,0,4,1077,0,1077,1.0,1,0,2,2,5,6,2,1,1939.0,1.0,205.0,2,4,0,4,0,8,4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
