,count,mean,std,min,25%,50%,75%,max
LotFrontage,1445.0,69.42560553633218,21.8395250948329,21.0,60.0,68.0,78.0,313.0
LotArea,1445.0,10423.69688581315,9929.978538431447,1300.0,7500.0,9430.0,11478.0,215245.0
OverallQual,1445.0,6.064359861591695,1.3452014165244364,1.0,5.0,6.0,7.0,10.0
YearBuilt,1445.0,1971.0048442906575,30.109368579224437,1872.0,1954.0,1972.0,2000.0,2010.0
YearRemodAdd,1445.0,1984.6685121107266,20.65245012563535,1950.0,1966.0,1993.0,2004.0,2010.0
MasVnrArea,1445.0,99.31285487538692,171.5225220374706,0.0,0.0,0.0,160.0,1600.0
BsmtFinSF1,1445.0,435.93425605536333,445.8952173366715,0.0,0.0,380.0,702.0,5644.0
BsmtUnfSF,1445.0,564.5653979238755,439.11488904667885,0.0,221.0,474.0,806.0,2336.0
TotalBsmtSF,1445.0,1047.159169550173,426.37156018488145,0.0,794.0,988.0,1278.0,6110.0
1stFlrSF,1445.0,1153.5889273356402,376.4879324921511,334.0,880.0,1080.0,1378.0,4692.0
2ndFlrSF,1445.0,341.0560553633218,428.16794577818405,0.0,0.0,0.0,728.0,1818.0
GrLivArea,1445.0,1500.1543252595156,500.81315082553203,334.0,1126.0,1456.0,1768.0,5642.0
BsmtFullBath,1445.0,0.4228373702422145,0.518792524393947,0.0,0.0,0.0,1.0,3.0
FullBath,1445.0,1.5557093425605537,0.5436394985460667,0.0,1.0,2.0,2.0,3.0
HalfBath,1445.0,0.37785467128027683,0.5018603545111321,0.0,0.0,0.0,1.0,2.0
BedroomAbvGr,1445.0,2.863667820069204,0.8128736347611358,0.0,2.0,3.0,3.0,8.0
KitchenAbvGr,1445.0,1.0470588235294118,0.221428252294345,0.0,1.0,1.0,1.0,3.0
TotRmsAbvGrd,1445.0,6.478892733564014,1.5817094762613089,2.0,5.0,6.0,7.0,14.0
Fireplaces,1445.0,0.6041522491349481,0.6400609640854343,0.0,0.0,1.0,1.0,3.0
GarageYrBlt,1445.0,1978.2740484429066,23.975193158598582,1900.0,1962.0,1979.0,2001.0,2010.0
GarageCars,1445.0,1.754325259515571,0.740491651420014,0.0,1.0,2.0,2.0,4.0
GarageArea,1445.0,469.10034602076126,211.16912792480548,0.0,326.0,478.0,576.0,1418.0
WoodDeckSF,1445.0,93.2401384083045,124.52449077713628,0.0,0.0,0.0,168.0,857.0
OpenPorchSF,1445.0,45.92387543252595,65.7438453682713,0.0,0.0,24.0,66.0,547.0
EnclosedPorch,1445.0,22.182006920415226,61.39459094992397,0.0,0.0,0.0,0.0,552.0
SalePrice,1445.0,177082.51003460208,69614.60375604796,34900.0,129900.0,162000.0,212000.0,440000.0
