,count,mean,std,min,25%,50%,75%,max
MSSubClass,1332.0,56.197447447447445,41.37171904792793,20.0,20.0,50.0,70.0,190.0
LotFrontage,1332.0,69.99549549549549,21.96106747354825,21.0,60.0,68.0,79.0,313.0
LotArea,1332.0,10615.941441441442,10273.797720847422,1300.0,7721.0,9579.5,11645.0,215245.0
OverallQual,1332.0,6.188438438438438,1.2861458951749711,2.0,5.0,6.0,7.0,10.0
OverallCond,1332.0,5.594594594594595,1.078121011023831,2.0,5.0,5.0,6.0,9.0
YearBuilt,1332.0,1972.9429429429429,29.477004798971798,1880.0,1956.0,1976.0,2001.0,2010.0
YearRemodAdd,1332.0,1985.5735735735736,20.30044411822776,1950.0,1968.0,1994.0,2004.0,2010.0
MasVnrArea,1332.0,105.56912559679736,175.64569258074246,0.0,0.0,0.0,170.0,1600.0
BsmtFinSF1,1332.0,457.4549549549549,448.9307844301691,0.0,0.0,410.0,732.0,5644.0
BsmtFinSF2,1332.0,49.03528528528528,166.00136988018224,0.0,0.0,0.0,0.0,1474.0
BsmtUnfSF,1332.0,579.7087087087087,436.66347049019333,0.0,247.75,486.5,813.25,2336.0
TotalBsmtSF,1332.0,1086.198948948949,392.8156927921515,105.0,816.0,1012.5,1311.75,6110.0
1stFlrSF,1332.0,1167.6501501501502,377.77476600705216,438.0,894.0,1096.0,1392.0,4692.0
2ndFlrSF,1332.0,351.0195195195195,431.5727458152328,0.0,0.0,0.0,738.25,1818.0
LowQualFinSF,1332.0,3.8115615615615615,37.71704234440391,0.0,0.0,0.0,0.0,528.0
GrLivArea,1332.0,1522.4812312312313,493.80672412338316,438.0,1158.0,1477.5,1780.25,5642.0
BsmtFullBath,1332.0,0.4376876876876877,0.5155931264423681,0.0,0.0,0.0,1.0,2.0
BsmtHalfBath,1332.0,0.06006006006006006,0.24082751651054485,0.0,0.0,0.0,0.0,2.0
FullBath,1332.0,1.5683183183183182,0.5404613279940834,0.0,1.0,2.0,2.0,3.0
HalfBath,1332.0,0.3993993993993994,0.5035706609883096,0.0,0.0,0.0,1.0,2.0
BedroomAbvGr,1332.0,2.861111111111111,0.7739686458313064,0.0,2.0,3.0,3.0,6.0
KitchenAbvGr,1332.0,1.0307807807807807,0.17708294140099493,1.0,1.0,1.0,1.0,3.0
TotRmsAbvGrd,1332.0,6.509009009009009,1.5356744240913638,3.0,5.0,6.0,7.0,12.0
Fireplaces,1332.0,0.6396396396396397,0.6422555032854116,0.0,0.0,1.0,1.0,3.0
GarageYrBlt,1332.0,1978.4722222222222,24.766012013058766,1900.0,1962.0,1980.0,2002.0,2010.0
GarageCars,1332.0,1.8603603603603605,0.6250631986241463,1.0,1.0,2.0,2.0,4.0
GarageArea,1332.0,497.86486486486484,183.4559372119878,160.0,374.5,484.0,576.0,1418.0
WoodDeckSF,1332.0,98.13513513513513,126.62211412854678,0.0,0.0,0.0,172.0,857.0
OpenPorchSF,1332.0,47.247747747747745,65.02360574217558,0.0,0.0,28.0,69.0,547.0
EnclosedPorch,1332.0,21.50975975975976,61.15749810200709,0.0,0.0,0.0,0.0,552.0
3SsnPorch,1332.0,3.6021021021021022,30.291708666068185,0.0,0.0,0.0,0.0,508.0
ScreenPorch,1332.0,15.77102102102102,56.55910627775826,0.0,0.0,0.0,0.0,480.0
PoolArea,1332.0,2.6073573573573574,39.2374118830889,0.0,0.0,0.0,0.0,738.0
MiscVal,1332.0,43.126126126126124,509.19190173793777,0.0,0.0,0.0,0.0,15500.0
MoSold,1332.0,6.342342342342342,2.7020725400958003,1.0,5.0,6.0,8.0,12.0
YrSold,1332.0,2007.8055555555557,1.3278044018579864,2006.0,2007.0,2008.0,2009.0,2010.0
SalePrice,1332.0,182947.3873873874,68602.93776450427,35311.0,135000.0,168000.0,216584.25,440000.0
